"","area","use_of_elec","use_of_gas","average_hour","GHG","operation_type"
"293",8665,75263.559337,9885.760081,70,21790.4219417549,"Public Libraries"
"294",25475,256028.003452,20604.475283,70,49383.2357884423,"Public Libraries"
"295",4424,59759.752608,4289.174688,70,10538.4923673667,"Public Libraries"
"296",17470,102264.572167,23868.464667,70,49433.2665299332,"Public Libraries"
"297",6997,124857.129396,7594.099545,70,19420.7201404811,"Public Libraries"
"298",11345,136646.588406,7406.115142,70,19535.186410346,"Public Libraries"
"299",5834,70572.886137,7519.932813,70,17108.456611008,"Public Libraries"
"300",9924,121497.586875,9463.258003,70,22837.1600707191,"Public Libraries"
"301",27997,1531666.726592,27198.300726,70,112935.008969855,"Public Libraries"
"302",168014,1881333.813871,130595.380985,70,323344.091858235,"Public Libraries"
"303",114179,2686147.133355,131065.557138,70,356429.813573687,"Public Libraries"
"304",3035,55983.218848,2206.208556,70,6430.44108566764,"Public Libraries"
"305",17287,153880.2304,11805.533333,70,28582.0628333668,"Public Libraries"
"306",8493,175675.458957,0,70,7027.01835828,"Public Libraries"
"307",8181,146080.985693,11026.868333,70,26790.8709312368,"Public Libraries"
"308",24079,280499.535955,15237.667232,70,40166.8255021581,"Public Libraries"
"309",14639,198495.146625,15613.851293,70,37601.2830277992,"Public Libraries"
"310",3627,23266.683667,4915.187684,70,10268.000238098,"Public Libraries"
"311",6997,88243.995886,11528.571429,70,25430.471693397,"Public Libraries"
"312",5091,55691.774018,5211.460446,70,12127.8302553817,"Public Libraries"
"313",47254,584022.171919,31243.985295,70,82714.7733018186,"Public Libraries"
"314",9655,154109.296988,16903.850209,70,38276.4470830552,"Public Libraries"
"315",12034,135495.809516,20324.063145,70,44029.2518965651,"Public Libraries"
"316",25847,379442.275388,20820.19521,70,54729.6076540049,"Public Libraries"
"317",12701,181921.814292,24541.485306,70,53898.0867926351,"Public Libraries"
"318",14500,213966.564646,56117.035714,100,115163.634161369,"Public Libraries"
"319",3950,68558.816876,6533.50732,70,15153.9911957708,"Public Libraries"
"320",4585,25841.12992,1863.873899,70,4574.42780399131,"Public Libraries"
"321",4833,48401.374449,0,70,1936.05497796,"Public Libraries"
"322",5005,83029.912688,3663.106773,70,10279.9638131204,"Public Libraries"
"323",5005,46295.592813,12680.216349,70,25940.3039085518,"Public Libraries"
"324",11034,197805.470728,4054.103449,70,15613.7586101508,"Public Libraries"
"325",416025,7946049.491871,427687.8505,70,1130316.31239118,"Public Libraries"
"326",5382,63841.881897,10529.83266,70,22557.0930817554,"Public Libraries"
"327",11948,150449.447615,13198.182142,70,31090.432537936,"Public Libraries"
"328",9795,138166.816,17117.197481,70,38044.0415226809,"Public Libraries"
"329",5360,49701.145733,3862.962876,70,9326.47777522844,"Public Libraries"
"330",6383,166384.718273,7768.161291,70,21412.4870538198,"Public Libraries"
"331",42173,751952.919085,62609.672745,70,149017.085980349,"Public Libraries"
"332",9052,181956.274932,19866.724632,70,45018.8691134441,"Public Libraries"
"333",62834,36984.722403,603.067273,100,2625.02976396537,"Storage Facilities"
"334",34952,277387.101177,0,100,11095.48404708,"Storage Facilities"
"335",25715,161017.887274,39453.285,70,81389.72647261,"Storage Facilities"
"336",3606,29337.194867,11686.815273,70,23374.8139006454,"Storage Facilities"
